"order_month","total_orders","total_revenue"
"2023-01",210,78166.43
"2023-02",176,52581.95
"2023-03",196,62376.89
"2023-04",208,50064.87
"2023-05",201,63827.25
"2023-06",219,62376.90
"2023-07",219,55104.94
"2023-08",223,66773.26
"2023-09",185,61108.56
"2023-10",219,62467.86
"2023-11",243,68534.04
"2023-12",237,83096.83
"2024-01",204,55368.85
"2024-02",174,68457.35
"2024-03",223,60634.55
"2024-04",211,66616.20
"2024-05",208,58629.34
"2024-06",226,79085.01
"2024-07",212,66201.71
"2024-08",209,59714.96
"2024-09",196,68803.70
"2024-10",208,56177.54
"2024-11",210,55484.02
"2024-12",183,60571.60
